Razão Social,Nome Fantasia,CNPJ,Cidade,UF,Todos os telefones extras (exceto de contador),Endereço na Web,URL do Facebook,URL do Instagram,Administrador,E-mails Válidos
IMPERIO INDUSTRIA E COMERCIO DE CONFECCOES LTDA,ALTERNATIVA UNIFORMES,21.130.478/0001-06,Sarandi,RS,"5433612928, 5433611603, 5130655331, 51998356428",https://alternativauniforme.com.br/,facebook.com/Alternativa-Uniformes-111804128990326,,ESTEVAO  K.,"contato@alternativauniforme.com.br, uniformesalternativa@gmail.com, sac@alternativauniforme.com.br"
VALVULAS E MICROFUSAO G4 LTDA.,G4 VALVULAS E MICROFUSAO,24.481.695/0001-39,Veranópolis,RS,"5434410137, 5434410138",https://g4valvulas.com.br/,facebook.com/g4valvulasemicrofusao,,JUARTE  F.,
DITAL INDUSTRIA E COMERCIO LTDA,,08.953.856/0001-93,Caxias do sul,RS,5432231810,https://dital.com.br/,,instagram.com/ditaliluminacao,JAIR  I. D.,"diego@dital.com.br, comercial@dital.com.br"
GROW UP INDUSTRIA E COMERCIO DE CONFECCOES LTDA,,11.411.938/0001-10,Cascavel,PR,"45999650187, 4533229850",https://lojagrowup.com.br/,facebook.com/growup.modainfantil,,HELEN  C. H. G.,"e-commerce@growup.ind.br, evandro@lojagrowup.com.br, eduardo@lojagrowup.com.br, juliano@lojagrowup.com.br, maiara@lojagrowup.com.br"
FREEFARO CONFECCOES LTDA,,27.148.561/0001-99,Maringá,PR,,https://freefaro.com.br/,facebook.com/freefaro,,WAGNER  W. D. N.,
MOVEIS DELUCCI LTDA,MEMOR DESIGN BRASILEIRO,19.449.819/0001-69,Bento gonçalves,RS,5434587174,https://moveisdelucci.com.br/,facebook.com/moveisdelucci,,EDWIN  R. W. L.,"comercial@memor.com.br, adm@moveisdelucci.com.br, lucci@moveisdelucci.com.br"
SPARK AG LTDA,SPARK,20.990.205/0001-79,Nova prata,RS,"5421214500, 5421214507",http://sparkag.com.br,facebook.com/SparkAG,,ADIO  G.,
MERIDIANO INDUSTRIA E COMERCIO DE MOVEIS LTDA,MERIDIANO DESIGN,07.254.993/0001-77,Caxias do sul,RS,"5430197579, 54999525795, 6733425400, 81995712007, 61981441522, 27981664444, 27999812558, 67999126593, 38999411410, 3132452258, 18991229679, 47999223209, 47988743582, 11995201885, 11991616148, 11991617264, 18997824676, 17988281001, 1133847568",https://meridianodesign.com.br/,facebook.com/meridianomoveisdesign,,EDUARDO  L. F.,
NEW CEVAL LTDA,NEW CEVAL,20.165.529/0001-72,Sabáudia,PR,4331511740,https://newceval.com.br/,facebook.com/newceval,,LOURIVAL  F. D. S.,
TELES HIDRAULICA LTDA,TELES HIDRAULICA,09.175.059/0001-95,Paiçandu,PR,4432629500,http://teleshidraulica.com.br,facebook.com/TelesHidraulica2007,,PAULO  T. D. S.,
FOLINI TEXTIL INDUSTRIA E COMERCIO DE CONFECCOES LTDA,FOLINI TEXTIL,07.306.957/0001-00,Laurentino,SC,4735461500,https://folinitextil.com.br/,facebook.com/denimzero,,TIAGO  C.,"dpo@geovendas.com, dpo@ibtech.inf.br"
R C M CABOS ELETRICOS LTDA,,11.792.286/0001-01,Porto união,SC,"4235238785, 42999295254",http://rcmcaboseletricos.com.br,facebook.com/RcmCabosEletricos,,MARCELO  F.,ricardo@rcmcaboseletricos.com.br
VIANFLEX INDUSTRIA E COMERCIO DE MOVEIS LTDA,VIANFLEX,07.909.383/0001-64,Maringá,PR,"4432533006, 44991827839, 4432536922",https://vianflex.com.br/,facebook.com/vianflex,,MANOEL  M. D. F. N.,
A. F. FELIPE CONFECCOES LTDA,767 JEANS,07.708.500/0001-21,Umuarama,PR,"4436361700, 44988063449, 44988054296, 44988057304, 1126924249",http://767jeans.com.br,facebook.com/767jeans,,ALISSOM  F. F.,contabilidade@767jeans.com.br
AMBIENT SOFAS LTDA,HABITATO SOFAS,17.778.031/0001-70,São josé,SC,"4821321581, 4830659181, 4832421609, 48996891414, 4832078429, 48999440862, 4841053847",https://habitato.com.br/,facebook.com/habitatosofas,,FERNANDA  C. D. S. A.,fe0406@gmail.com
R.BRANDS LTDA,,13.992.333/0001-96,Itajaí,SC,4837715050,https://rbrandsbr.com/,,instagram.com/rbrands5,JOSE  G. G.,
GRIFFE COMPANY CONFECCOES LTDA,GRIFFE COMPANY CONFECCOES,07.034.304/0001-19,Apucarana,PR,"4321024712, 43998134180",https://griffecompany.com.br/,facebook.com/GriffeCo,,LUCIANO  F. R.,
VEND INDUSTRIA E COMERCIO DE MAQUINAS LTDA.,,09.285.668/0001-05,São leopoldo,RS,"5134599085, 5130333099",https://vend.ind.br/,facebook.com/vend.maquinasdecafe,,RAFAEL  S. B.,
PROGRESSO INDUSTRIA DE EQUIPAMENTOS AGRICOLAS E AGROPECUARIOS LTDA,FUNDICAO PROGRESSO,11.786.999/0001-62,Assis chateaubriand,PR,"4435284545, 44991226702",https://progressofundicao.com.br/,facebook.com/progressopecasagricolas,,LUCIANO  F. P.,
SIRROS IOT SERVICOS E CONSULTORIA EM TECNOLOGIA LTDA.,SIRROS IOT,17.968.143/0001-94,Novo hamburgo,RS,"5137813141, 5130679700, 51981632555",http://sirros.net,facebook.com/LauermannSchneider,,ROMULO  C. P.,
GHORYLLA INDUSTRIA E COMERCIO LTDA,GORILLA,27.983.677/0001-43,Joinville,SC,4732271523,https://gorillaoficial.com.br/,facebook.com/gorillaoficial,,MARCELO  E. M.,contato@gorillaoficial.com.br
CAMA INBOX INDUSTRIA E COMERCIO DE MOVEIS LTDA,CAMA INBOX,29.149.966/0001-77,Umuarama,PR,4420200848,https://camainbox.com.br/,facebook.com/camainbox,,JOAO  P. P. D. N.,"sielen.santos@camainbox.com.br, contabilidade@camainbox.com.br, daiane.pereira@camainbox.com.br, elen.regina@camainbox.com.br, carolina.matos@camainbox.com.br, lucas.rodrigo@camainbox.com.br, miguel.junior@camainbox.com.br, alan.soares@camainbox.com.br, helder.martins@camainbox.com.br, axel.roberto@camainbox.com.br"
BIL IMPORTACAO E EXPORTACAO LTDA,BIL IMPORTACAO E EXPORTACAO,30.965.938/0001-07,Itajaí,SC,"3135173699, 4735145700, 1141743000, 11968550846, 11942080750, 11998084582, 11942081295, 11969125607, 11974731319, 3233215350, 8535120723, 5130940778, 7535120577, 8131972549",https://biltextil.com.br/,facebook.com/biltextilbelohorizonte,,TALES  J. K.,
EDEX INDUSTRIA DE JEANS WEAR LTDA,EDEX JEANS WEAR,97.551.683/0001-07,Rio do sul,SC,"4735250009, 17982147000",https://edexjeans.com.br/,facebook.com/edexjeansfashioncenter,,EDSON  L. K.,
GREYLOGIX BRASIL AUTOMACAO INDUSTRIAL LTDA,,09.225.490/0001-07,Blumenau,SC,"4736455277, 4736422490",https://greylogix.com.br/,facebook.com/GreyLogixBrasil,,RENATO  C. Z. L.,rafael@log.tur.br
DMA ELETROELETRONICA E SISTEMAS LTDA,,10.348.766/0001-15,Curitiba,PR,4135285677,http://dmasistemas.com,facebook.com/dma.sistemas,,ODINIR  B. G.,
MONTEEUSE FABRICACAO E COMERCIO DE EQUIPAMENTOS INDUSTRIAIS LTDA,MONTEEUSE EQUIPAMENTOS INDUSTRIAIS LTDA,09.404.978/0001-93,Joinville,SC,"4734388852, 47991441252",http://monteeuse.com.br,facebook.com/monteeuse,,LEILA  R. S.,
RICHARD FABRICA DE JOIAS E ALIANCAS LTDA,RICHARD JOIAS,06.936.623/0001-57,Barbosa ferraz,PR,"44999445624, 61984585095, 4432752076",http://richardjoias.com.br,facebook.com/amestrados.44,,CLAUDINEI  O. G.,
